The Shawshank Redemption,1994,2h 22m,"[""What's New on HBO and HBO Max This January"", 'Everything Coming to HBO and HBO Max in August 2021', 'Guillermo del Toro, Neil Gaiman, Gugu Mbatha-Raw and More Share Their Favorite Films About Hope']"
The Godfather,1972,2h 55m,"['New on Netflix India This Aug 2020', 'Top 100 Movies Bucket List', ""Sooraj Barjatya's Watchlist""]"
The Godfather: Part II,1974,3h 22m,"['Top 100 Movies Bucket List', 'Top 100 Movies as Rated by Women on IMDb in 2016', 'The Top 200 Movies as Rated by Women on IMDb in 2018']"
The Dark Knight,2008,2h 32m,"[""What's New on HBO and HBO Max This January"", 'Everything Coming to Hulu in June 2021', 'Everything Coming to Netflix in March 2021']"
12 Angry Men,1957,1h 36m,"['Top 100 Movies Bucket List', 'Top 100 Movies as Rated by Women on IMDb in 2016']"
Schindler's List,1993,3h 15m,"['New on Netflix India This April 2021', 'New on Netflix India This July 2020', 'Everything Coming to Netflix in July 2020']"
The Lord of the Rings: The Return of the King,2003,3h 21m,"['The Billion-Dollar Film Club: 49 Movies to Reach $1 Billion Worldwide', ""What's New on HBO and HBO Max This January"", 'Everything Coming to Hulu in December 2020']"
Pulp Fiction,1994,2h 34m,"['Movies That Changed My Life', 'Everything Coming to HBO Max in January 2021', 'Top 100 Movies Bucket List']"
"The Good, the Bad and the Ugly",1966,2h 58m,"['Everything Coming to HBO and HBO Max in September 2021', 'Everything Coming to Netflix in April 2020', 'Top 100 Movies Bucket List']"
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,"[""What's New on HBO and HBO Max This January"", 'Everything Coming to HBO Max in December 2020', 'Everything Coming to Hulu in December 2020']"
